public_date,user_name,review_text
a day ago,Alex Wersonig,Busy place. Wide isle . Covid lockdown anything not grocery can't access it
a day ago,sarah dunlop,produce is pretty good which is always my main concern with any grocery store. prices r fair. staff r friendly.
a day ago,Petra Perry,"Clean, spacious, helpful, polite, 9ts worth paying the extra few dollars to shop here."
4 days ago,Jenny,"We get curbside pick up currently and its very quick, easy and friendly."
6 days ago,Lana Kis,"We usually cannot afford to buy food from such an expensive store.  But today we came to it because there was a huge queue in the neighboring wallmart, where we usually buy food.  We were shocked that there were so many expired, spoiled food in such a luxury, expensive store.  Berry, dragon fruit, star fruit, they were all spoiled.  they were wrinkled and stained.  My kids asked for a coconut.  It was difficult to choose not rotten, most of the coconuts had mold.  I chose the best one, but when I opened it at home, it turned out that it was rotten.  Disgusting!  The managers of this store are not doing their job.  I have not seen such a shame in the most inexpensive Sshop.  Shame!!!  Never again !"
a week ago,robert mansfield,Went here to pick up some food for meal prep. Store had everything that I was looking for. Only downside was at cash. The belt was not cleaned off after the previous person had paid and the cashier was reading some paperwork while I was waiting for them to scan my items. They seemed to be more interested in what they were reading than customer service.
2 weeks ago,Patel Utsav,"Very cool place, you can find anything you want for grocery."
2 weeks ago,Samantha Irani,Love this location especially because they have a pattiserie.
2 weeks ago,Brenda Edwards,"Excellent place to shop clean, friendly informative staff. Prices are good too."
2 weeks ago,Sindy Powell,"Always clean, food always fresh and well stocked. I have one closer to home but it doesn't come close to this one!"
3 weeks ago,Kevin Murphy,"Awesome store, well worth the visit"
3 weeks ago,Sabrina Chun,Always nice and clean! Staff are friendly and helpful.
a month ago,Corbin Duncan,"I don't think I've ever had a bad experience here. The staff, during covid, have been kind, patient and efficient."
a month ago,Jef Walton,Good food
a month ago,gayle robinson,"A huge store. Clean,  spacious,  every thing  you could want in here. Full floral, bakery, deli, butcher shop, seafood.
However I found it way too large, too much walking.
Like a smaller store."
a month ago,Alexander Faulds,"Rude staff, that is all I can say"
a month ago,Sebastian Kowalski,Pretty quiet there today
a month ago,James Decoste,"Supervisor Angela is extremely rude and a loves to take pictures of customers, someone LOVES DRAMA"
a month ago,Josh Cook,"Nicest grocery store in town. Prices are jacked compared to many other stores, but it is the only grocery store that actually inspires my cooking. Love shopping here."
a month ago,Olga Nelson,Good
a month ago,Steve O'Brien,Long line up to get in and the same to check out
a month ago,Teresa Christiaans,Clean and lots of choices
2 months ago,Sybil Waddington,"This is my favourite location. The produce is always most fresh, the folks at the deli are lovely. You pay a little more and receive the quality you'd expect and then some."
2 months ago,Shawn Fraser,"Groceries are overpriced, customer service is nonexistent and to check out and pay for your items the lines were the length of the store."
2 months ago,Shirley Morrison,I was looking for the  Knorr1klm.  soup base yellow can red lid. No store that I went to had that product.  I saw online that Loblaws had it.  When I went there to my disappointment the gentleman help me look for it and it was not in the store.  I give Loblaws credit for not giving up.  When I asked the manager about it she sent me to her assistant manager and there was one more place to look and he found it. I purchased the product I was looking for. Thank you Loblaws for not giving up. And a special thank you to Glen for being so good and trying to help me find the product.
2 months ago,Karim Ahmed,Very nice and easy going experience.
2 months ago,Angie Cornacchia,"Well organized ..staff was very helpful the produce man and the 2 girls on the deli dept as well ..thank you
."
2 months ago,Bill Kelly,Best quality and service.
2 months ago,Dreamcatcher Music,"Nice store, some items not available but tgat is understandable"
2 months ago,kenny hunter,To expensive but otherwise good
2 months ago,ChocolateMonkeh,"Usually come here for their bakery section, breads and antipasto. Its always clean and organized but on all occasions that I've been here I've encountered at least 1 really rude worker. -Today was my birthday and we picked up a plain vanilla cake, it was half frozen and for loblaws' reputation I wasn't expecting it to taste like a boxed cake, but it did. Could have probably gotten a better one for less at Walmart. Other than that I'd definitely keep coming back. I love their plant section as well."
2 months ago,Miranda Grundsten,"Tasty sandwiches, clean, lots of variety, but bought moldy brie cheese so products should be more carefully inspected."
2 months ago,tyler day,Clean and well organized.
